id,name,type,objective_function,constraints,parameters,performance_metric,iteration_count,convergence_rate,domain,application,task_id,created_at,updated_at
quality_control_optimization,品質管理最適化,statistical_optimization,minimize(defect_rate) subject to cost_constraints,"{""inspection_rate"":""0.1-1.0"",""false_positive_max"":0.01}","{""control_chart"":""xbar-r"",""sample_size"":5,""control_limits"":""3sigma""}","{""defect_reduction"":0.60,""inspection_cost_reduction"":0.30}",1000,0.89,quality_control,統計的プロセス管理,3,2020-01-15 00:00:00,2020-01-15 00:00:00
workspace_optimization,作業空間最適化,geometric_optimization,maximize(reachable_volume) / footprint,"{""robot_dimensions"":""link_lengths"",""joint_limits"":""angle_ranges"",""obstacle_positions"":""fixed_obstacles""}","{""optimization_method"":""gradient_descent"",""step_size"":0.01}","{""workspace_utilization"":0.85,""footprint_reduction"":0.20}",500,0.87,robot_design,レイアウト設計,6,2020-02-05 00:00:00,2020-02-05 00:00:00
sensor_fusion_optimization,センサ融合最適化,kalman_filter,minimize(estimation_error),"{""sensor_noise_models"":""covariance_matrices"",""system_dynamics"":""state_space_model""}","{""process_noise"":0.01,""measurement_noise"":0.1,""update_rate"":100}","{""position_accuracy"":0.995,""latency"":5}",999999,0.99,robot_sensing,マルチセンサシステム,11,2020-03-11 00:00:00,2020-03-11 00:00:00
load_balancing_optimization,負荷分散最適化,queueing_theory,minimize(wait_time) + maximize(throughput),"{""server_capacity"":""max_robots"",""arrival_rate"":""task_frequency"",""service_rate"":""processing_speed""}","{""num_servers"":5,""buffer_size"":100,""scheduling"":""FIFO""}","{""throughput_increase"":0.28,""wait_time_reduction"":0.45}",1000,0.92,robot_coordination,マルチロボットシステム,7,2020-02-12 00:00:00,2020-02-12 00:00:00
thermal_management_optimization,熱管理最適化,finite_element,minimize(max_temperature) subject to power_constraints,"{""ambient_temp"":25,""max_temp"":80,""power_dissipation"":100}","{""mesh_elements"":10000,""material_properties"":""thermal_conductivity"",""cooling_method"":""forced_air""}","{""peak_temp_reduction"":15,""uniform_distribution"":true}",5000,0.90,robot_thermal,冷却システム設計,8,2020-02-19 00:00:00,2020-02-19 00:00:00
communication_optimization,通信最適化,network_optimization,minimize(latency) + maximize(reliability),"{""bandwidth"":""1Gbps"",""packet_loss_max"":0.001,""jitter_max"":1}","{""protocol"":""TCP"",""buffer_size"":""64KB"",""retry_policy"":""exponential_backoff""}","{""latency_reduction"":0.30,""reliability"":0.9999}",1000,0.88,robot_communication,リアルタイム通信,7,2020-02-12 00:00:00,2020-02-12 00:00:00
material_selection_optimization,材料選択最適化,multi_criteria,minimize(cost) + maximize(performance) + minimize(weight),"{""strength_min"":300,""density_max"":3000,""cost_max"":100}","{""materials_database"":500,""selection_method"":""TOPSIS""}","{""cost_reduction"":0.25,""performance_increase"":0.20}",200,0.86,robot_materials,構造材料選定,14,2020-04-01 00:00:00,2020-04-01 00:00:00
safety_zone_optimization,安全領域最適化,probabilistic,minimize(collision_probability) subject to productivity,"{""safety_distance"":500,""detection_reliability"":0.999}","{""sensor_coverage"":""360deg"",""response_time"":100,""safety_category"":3}","{""accident_reduction"":1.0,""productivity_maintained"":0.95}",1000,0.95,robot_safety,協働ロボット安全設計,13,2020-03-25 00:00:00,2020-03-25 00:00:00
learning_rate_optimization,学習率最適化,bayesian_optimization,maximize(learning_efficiency) / training_time,"{""initial_rate"":0.01,""decay_rate"":0.95,""min_rate"":0.0001}","{""optimizer"":""Adam"",""batch_size"":32,""epochs"":100}","{""learning_speed_increase"":0.40,""accuracy"":0.96}",500,0.91,robot_learning,強化学習システム,2,2020-01-08 00:00:00,2020-01-08 00:00:00
compliance_control_optimization,コンプライアンス制御最適化,impedance_control,minimize(contact_force_error) + maximize(stability),"{""stiffness"":""10-1000N/m"",""damping"":""1-100Ns/m"",""mass"":""0.1-10kg""}","{""control_rate"":1000,""force_sensor_resolution"":0.01}","{""force_tracking_error"":0.02,""stability_margin"":0.30}",2000,0.93,robot_control,力制御システム,11,2020-03-11 00:00:00,2020-03-11 00:00:00
