id,name,user_id,task_id,task_type,category,pattern,frequency,accuracy,impact_score,last_seen,created_at,updated_at
37,作業リズムパターン_効率85%,2,37,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 17, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",58,1.0,1.0,2024-03-29T21:00:00Z,2024-03-28T00:00:00Z,2024-03-28T00:00:00Z
38,時間管理パターン_最適化L18,2,38,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 18, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",63,1.0,0.973,2024-03-31T03:00:00Z,2024-03-31T00:00:00Z,2024-03-31T00:00:00Z
39,エラー傾向パターン_頻度1,2,39,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 19, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""高度な最適化"", ""予防的対応"", ""ミス最小化""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",67,1.0,0.967,2024-04-03T20:00:00Z,2024-04-03T00:00:00Z,2024-04-03T00:00:00Z
40,成功要因パターン_達成率100%,2,40,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 20, ""coefficient"": ""応用力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",74,1.0,0.97,2024-04-06T13:00:00Z,2024-04-06T00:00:00Z,2024-04-06T00:00:00Z
41,時間管理パターン_最適化L1,3,41,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 1, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",13,0.601,0.516,2024-02-11T22:00:00Z,2024-02-11T00:00:00Z,2024-02-11T00:00:00Z
42,エラー傾向パターン_頻度18,3,42,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 2, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""基本的ミスの発生"", ""確認不足"", ""経験不足""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",25,0.696,0.484,2024-02-14T08:00:00Z,2024-02-14T00:00:00Z,2024-02-14T00:00:00Z
43,作業リズムパターン_効率15%,3,43,machining,work_rhythm,"{""pattern_type"": ""work_rhythm"", ""level"": 3, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""集中時間の最適化"", ""休憩タイミングの確立"", ""効率的作業フロー""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",18,0.644,0.525,2024-02-17T14:00:00Z,2024-02-17T00:00:00Z,2024-02-17T00:00:00Z
44,成功要因パターン_達成率20%,3,44,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 4, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",20,0.704,0.527,2024-02-21T13:00:00Z,2024-02-20T00:00:00Z,2024-02-20T00:00:00Z
45,時間管理パターン_最適化L5,3,45,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 5, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",20,0.719,0.585,2024-02-23T21:00:00Z,2024-02-23T00:00:00Z,2024-02-23T00:00:00Z
46,エラー傾向パターン_頻度14,3,46,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 6, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""基本的ミスの発生"", ""確認不足"", ""経験不足""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",29,0.771,0.602,2024-02-26T23:00:00Z,2024-02-26T00:00:00Z,2024-02-26T00:00:00Z
47,エラー傾向パターン_頻度13,3,47,machining,error_tendency,"{""pattern_type"": ""error_tendency"", ""level"": 7, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""基本的ミスの発生"", ""確認不足"", ""経験不足""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",34,0.798,0.671,2024-02-29T04:00:00Z,2024-02-29T00:00:00Z,2024-02-29T00:00:00Z
48,時間管理パターン_最適化L8,3,48,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 8, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""基本的な成果達成"", ""学習進捗"", ""スキル向上""]}",32,0.846,0.72,2024-03-04T11:00:00Z,2024-03-03T00:00:00Z,2024-03-03T00:00:00Z
49,成功要因パターン_達成率45%,3,49,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 9, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",40,0.865,0.627,2024-03-07T11:00:00Z,2024-03-06T00:00:00Z,2024-03-06T00:00:00Z
50,時間管理パターン_最適化L10,3,50,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 10, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",42,0.842,0.725,2024-03-09T13:00:00Z,2024-03-09T00:00:00Z,2024-03-09T00:00:00Z
51,成功要因パターン_達成率55%,3,51,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 11, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",46,0.874,0.801,2024-03-12T20:00:00Z,2024-03-12T00:00:00Z,2024-03-12T00:00:00Z
52,成功要因パターン_達成率60%,3,52,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 12, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",51,0.922,0.868,2024-03-15T11:00:00Z,2024-03-15T00:00:00Z,2024-03-15T00:00:00Z
53,成功要因パターン_達成率65%,3,53,machining,success_factor,"{""pattern_type"": ""success_factor"", ""level"": 13, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""計画的準備"", ""適切なツール選択"", ""品質重視""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",53,0.932,0.776,2024-03-18T17:00:00Z,2024-03-18T00:00:00Z,2024-03-18T00:00:00Z
54,時間管理パターン_最適化L14,3,54,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 14, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",49,0.971,0.766,2024-03-21T02:00:00Z,2024-03-21T00:00:00Z,2024-03-21T00:00:00Z
55,時間管理パターン_最適化L15,3,55,machining,time_management,"{""pattern_type"": ""time_management"", ""level"": 15, ""coefficient"": ""実践力"", ""task_type"": ""machining"", ""characteristics"": [""タスク優先順位付け"", ""時間配分最適化"", ""効率的実行""], ""triggers"": [""タスク開始時"", ""問題発生時"", ""レビュー時""], ""outcomes"": [""高品質な成果"", ""効率的完了"", ""継続的改善""]}",54,0.979,0.82,2024-03-24T17:00:00Z,2024-03-24T00:00:00Z,2024-03-24T00:00:00Z
