id,task_id,name,description,goal,scope,process,result,feedback,limit_min,limit_max,goal_function,abstract_level,domain,created_at,updated_at
material_handling_framework,14,材料取扱い最適化フレームワーク,多様な材料の適切な取扱い,G: 破損率0%・処理速度最大化,A: 全材料タイプ,"{""steps"":[""材料識別"",""パラメータ選択"",""実行"",""結果評価""],""iteration"":""adaptive""}","{""damage_rate"":0.0,""throughput_increase"":0.35}","{""type"":""adaptive"",""database"":""material_properties""}",0.0,1.0,minimize(damage_rate) + maximize(throughput),L2,robot_handling,2020-04-01 00:00:00,2020-04-01 00:00:00
cutting_process_framework,1,切削加工最適化フレームワーク,切削条件の動的最適化,G: 表面粗さRa<1.6・工具寿命延長,A: 全切削工程,"{""steps"":[""条件設定"",""加工"",""測定"",""調整""],""iteration"":""continuous""}","{""surface_roughness"":1.2,""tool_life_extension"":0.40}","{""type"":""continuous"",""sensor"":""vibration_force""}",0.0,10.0,minimize(surface_roughness) + maximize(tool_life),L1,machining,2020-01-01 00:00:00,2020-01-01 00:00:00
assembly_optimization_framework,1,組立最適化フレームワーク,組立精度と効率の両立,G: 組立精度±0.05mm・タクト30秒,A: 全組立工程,"{""steps"":[""部品認識"",""位置合わせ"",""組立"",""検証""],""iteration"":""iterative""}","{""assembly_error"":0.03,""cycle_time"":28}","{""type"":""iterative"",""vision"":""3d_camera""}",0.01,0.1,minimize(assembly_error) + minimize(cycle_time),L2,robot_assembly,2020-01-01 00:00:00,2020-01-01 00:00:00
welding_quality_framework,15,溶接品質フレームワーク,溶接品質の安定化,G: 溶接強度規格値以上・外観良好,A: 全溶接箇所,"{""steps"":[""パラメータ設定"",""溶接"",""検査"",""補正""],""iteration"":""continuous""}","{""weld_strength"":450,""defect_rate"":0.002}","{""type"":""continuous"",""monitoring"":""arc_sensor""}",0.0,5.0,maximize(weld_strength) + minimize(defects),L1,robot_welding,2020-04-08 00:00:00,2020-04-08 00:00:00
painting_uniformity_framework,7,塗装均一性フレームワーク,塗装品質の均一化,G: 膜厚偏差±10%以内,A: 全塗装面,"{""steps"":[""スプレーパターン設定"",""塗装"",""測定"",""調整""],""iteration"":""periodic""}","{""thickness_variance"":0.08,""coverage"":0.98}","{""type"":""periodic"",""measurement"":""coating_gauge""}",50.0,150.0,minimize(thickness_variance) + maximize(coverage),L1,robot_painting,2020-02-12 00:00:00,2020-02-12 00:00:00
inspection_accuracy_framework,16,検査精度向上フレームワーク,検査の高精度化,G: 検出率99.9%・誤検出率<0.1%,A: 全検査項目,"{""steps"":[""検査計画"",""実行"",""判定"",""フィードバック""],""iteration"":""continuous""}","{""detection_rate"":0.998,""false_positive_rate"":0.0008}","{""type"":""continuous"",""ai"":""deep_learning""}",0.0,1.0,maximize(detection_rate) - minimize(false_positive_rate),L1,robot_inspection,2020-04-15 00:00:00,2020-04-15 00:00:00
logistics_optimization_framework,9,物流最適化フレームワーク,内部物流の効率化,G: 搬送時間30%短縮,A: 工場内全搬送経路,"{""steps"":[""経路計画"",""搬送"",""到着確認"",""最適化""],""iteration"":""dynamic""}","{""time_reduction"":0.32,""congestion_reduction"":0.45}","{""type"":""dynamic"",""navigation"":""autonomous""}",0.0,100.0,minimize(transport_time) + minimize(congestion),L2,robot_logistics,2020-02-26 00:00:00,2020-02-26 00:00:00
skill_transfer_framework,9,スキル転移フレームワーク,熟練技能のロボット化,G: 熟練度90%再現,A: 全熟練作業,"{""steps"":[""観察"",""モデル化"",""実装"",""評価""],""iteration"":""iterative""}","{""skill_similarity"":0.88,""learning_time"":120}","{""type"":""iterative"",""method"":""learning_from_demonstration""}",0.0,1.0,maximize(skill_similarity) + minimize(learning_time),L3,robot_learning,2020-02-26 00:00:00,2020-02-26 00:00:00
cost_optimization_framework,11,コスト最適化フレームワーク,運用コストの最小化,G: 総コスト20%削減,A: システム全体,"{""steps"":[""コスト分析"",""最適化"",""実施"",""評価""],""iteration"":""periodic""}","{""cost_reduction"":0.22,""quality_maintained"":true}","{""type"":""periodic"",""interval"":""monthly""}",0.0,1000000.0,minimize(total_cost) subject to quality_constraints,L2,robot_economics,2020-03-11 00:00:00,2020-03-11 00:00:00
innovation_framework,5,イノベーションフレームワーク,新技術の体系的導入,G: 革新的ソリューション創出,A: R&D全領域,"{""steps"":[""探索"",""実験"",""評価"",""実装""],""iteration"":""exploratory""}","{""innovation_index"":0.75,""feasibility"":0.82}","{""type"":""exploratory"",""approach"":""agile""}",0.0,1.0,maximize(innovation_index) + maximize(feasibility),L3,robot_research,2020-01-29 00:00:00,2020-01-29 00:00:00
